,KAMCHAY,LRCHRUM,ATAY,TATAY,KIRIROM1,KIRIROM3
0,15.747558592499999,24.8165039875,18.133398425000003,14.1,0.90673828125,0.73876953125
1,14.2101562,23.330761725,17.381933637500005,13.282226524999999,0.88330078125,0.730078125
2,13.095019542500001,22.7111328125,17.1013672125,12.6922851875,0.86259765625,0.72041015625
3,12.1880858875,22.675976587499996,17.052832037499996,12.5564453125,0.8435546875,0.71220703125
4,12.8381836125,24.5039062,17.982031224999997,12.659082025,0.84814453125,0.70361328125
5,13.965234387499999,29.0957031625,20.922363275000002,13.230859375,0.8439453125,0.69794921875
6,15.2262696125,30.749218737499994,22.070605400000005,14.961914037500003,0.8349609375,0.69267578125
7,15.5708985375,30.084277424999993,22.008886625,14.196679675000002,0.8208984375,0.68544921875
8,14.0744140625,31.541992050000005,22.679980575,15.151953149999997,0.808984375,0.68310546875
9,13.234375,31.562109187499992,21.924023425,16.22890625,0.79814453125,0.6798828125
10,13.1041015625,30.555273362499996,21.5832031125,15.452343725000002,0.79296875,0.675
11,13.1314452625,29.8070312,20.955664074999998,15.519921925,0.7853515625,0.6724609375
12,12.63496095,31.812500150000005,22.8302735875,15.803515637499999,0.78046875,0.6669921875
13,12.8302734,35.6259767,25.074023287499994,16.8183593625,0.778125,0.665234375
14,12.9917969,35.749804675,25.274023637499994,16.9677734125,0.770703125,0.6587890625
15,14.3380859375,32.7007812375,22.995703199999998,16.5119140625,0.7666015625,0.655078125
16,16.399414200000002,35.9244140625,24.687890575,17.595117312499998,0.81953125,0.657421875
17,16.259570175,31.929296875,22.2072265625,16.335937575000003,0.824609375,0.653125
18,15.852539075,30.8349609125,21.804687525000002,16.513085912500003,0.8154296875,0.6486328125
19,17.0076172,32.8076170625,23.1546876375,16.2949219,0.8001953125,0.6419921875
20,16.9451172375,31.592968912499998,22.0671876125,16.446093712499998,0.7904296875,0.639453125
21,16.7035157,32.0275391,22.4392578125,15.9800781,0.7828125,0.6421875
22,16.1699218875,31.534765537500004,21.918164025,16.115820324999998,0.7890625,0.6611328125
23,16.458398425000002,34.2166015125,24.3228516875,16.852343724999997,0.8205078125,0.7021484375
24,15.588281375,34.0384765625,24.2500000875,17.1162109375,0.83828125,0.683203125
25,13.5921875,32.837695337499994,23.470312399999997,16.8464843625,0.83046875,0.719140625
26,12.259765625,32.206054675000004,23.137109350000003,16.319531375,0.84921875,0.7138671875
27,11.8943359375,31.9664062875,23.170312387499997,15.4857421875,0.8306640625,0.694921875
28,12.850390625,33.3466796625,23.3814453125,17.4525391875,0.842578125,0.70859375
29,14.020312624999999,32.599609375,22.864648425000002,17.1076171875,0.83984375,0.6919921875
30,13.80078125,31.5960938,22.18984375,16.494726550000003,0.81171875,0.706640625
31,13.0552734375,28.714062624999997,20.350195300000003,14.991601550000002,0.7767578125,0.6736328125
32,12.7751953125,27.949609375,20.08808595,14.951367175000001,0.760546875,0.6490234375
33,13.1541015625,29.68984375,21.325195325,14.938867175000002,0.775,0.644140625
34,12.1775390625,28.687890625,21.098242199999998,14.3556640625,0.7662109375,0.6376953125
35,11.1869140625,28.161132825,20.94765625,14.0130859375,0.739453125,0.6228515625
36,10.4875,25.675,19.2423828125,12.9802734375,0.7189453125,0.61015625
37,9.7990234375,25.6109375,19.148046875,12.3849609375,0.705859375,0.599609375
38,9.416015625,25.001953125,18.7353515625,12.257421875,0.6865234375,0.5900390625
39,9.0677734375,24.999609375,18.4765625,11.955859375,0.6814453125,0.5865234375
40,8.625390625,23.450585949999997,17.4310546875,11.4056640625,0.665234375,0.581640625
41,8.2904296875,24.2056640625,18.09375,11.260546875,0.659765625,0.579296875
42,7.9951171875,24.3060546875,18.083203125,12.0953125,0.6806640625,0.5802734375
43,9.1791015625,25.73046875,19.1890625,12.5453125,0.6947265625,0.5794921875
44,11.0224609375,29.947656125,22.3693359375,12.9083984375,0.696875,0.5865234375
45,10.5240234375,36.881445424999995,26.9365234375,14.6263671875,0.68203125,0.5794921875
46,9.2517578125,38.347070675000005,28.682031125,15.060546875,0.68515625,0.583984375
47,10.92578125,40.341797,28.977148449999998,16.094140625,0.8095703125,0.61171875
48,16.3404296875,46.203906374999995,32.478515625,18.6314453125,0.9490234375,0.61796875
49,16.28515625,43.255273175,30.8689453,18.180859375,0.8716796875,0.6041015625
50,14.4443359375,53.87265625,38.23808580000001,19.5974609375,0.79453125,0.6103515625
51,14.1134765625,53.83300795,37.460546875,19.5240234375,0.74453125,0.6033203125
52,13.9228515625,57.67910167499999,41.098437749999995,21.0412109375,0.7435546875,0.640234375
53,14.8521484375,64.708203375,43.96679675,23.73046875,0.7619140625,0.683203125
54,14.4970703125,62.5552737,43.237499875000005,22.155859375,0.7423828125,0.705859375
55,13.847265625,61.256640375,41.968164175,21.150390625,0.7224609375,0.673828125
56,14.0623046875,57.837304575000005,39.3548828,21.41328125,0.7083984375,0.6455078125
57,13.122265625,50.323632700000005,35.026367199999996,19.415234375,0.68359375,0.6201171875
58,12.395703125,48.327539075,33.348046875,19.3375,0.67890625,0.6087890625
59,13.0484375,49.833203125,35.7009765625,18.2619140625,0.68671875,0.599609375
60,13.4021484375,49.20839845,35.4154296875,18.5673828125,0.678515625,0.59765625
61,12.808203125,51.43750024999999,37.3875,19.2126953125,0.663671875,0.66796875
62,12.79140625,57.34902354999999,40.9107421875,21.322265625,0.678515625,0.7228515625
63,14.3111328125,52.414843625,37.50546875,19.850390625,0.6951171875,0.7384765625
64,17.2650390625,58.58359375,40.94121080000001,23.2951171875,0.7466796875,0.8025390625
65,20.868359375,67.23203125,47.6955078,27.260546999999995,0.8478515625,0.9103515625
66,23.0267578125,71.9732423,49.826367424999994,30.196679824999997,0.9435546875,0.9576171875
67,23.1625,71.687500125,50.1464845,27.63125,0.946484375,0.88828125
68,20.596875,66.02578125,46.337109375,23.86171875,0.930078125,0.82421875
69,17.486328125,57.10507825,40.076953125,21.16796875,0.84453125,0.743359375
70,15.6796875,56.95,40.51132825,21.040234375,0.77890625,0.683984375
71,15.7734375,51.0328125,36.35625,20.362109375,0.800390625,0.686328125
72,19.616796875,58.603515625,40.958984375,22.230859375,0.9015625,0.706640625
73,20.485546875,64.82656237500001,45.296875,22.9515625,0.86328125,0.6875
74,18.90703125,65.869922,45.57578125,25.180078125,0.812109375,0.74140625
75,19.824609375,64.038671875,44.149609375,24.975390625,0.815234375,0.747265625
76,23.53671875,67.906249875,46.518359375,24.6625,0.92578125,0.765625
77,27.097265874999998,79.41523425,54.1816405,28.25859375,1.001953125,0.784375
78,33.5984375,95.81328125,65.721093875,30.222265625,1.134765625,0.858203125
79,34.9078125,97.24296899999999,65.86445275,33.67578125,1.154296875,0.862109375
80,32.901953125,103.226562375,70.00234375,37.22734375,1.186328125,0.866796875
81,31.982421999999996,107.47148462499999,73.58007825,37.433203125,1.275,0.908984375
82,31.467578125,119.84609375,80.5484375,39.276953125,1.274609375,0.9515625
83,36.469922,107.787109125,73.907031125,37.196093625,1.25546875,0.96875
84,43.956640625,99.27421899999999,67.64296862500001,36.108203125,1.41484375,1.011328125
85,36.556250125,90.323828,62.6203125,32.727734375,1.361328125,0.925
86,31.690234375,86.39492162500001,60.11992175,31.026953125,1.21796875,0.936328125
87,31.169140625,92.762890625,65.5140625,33.0046875,1.188671875,0.9859375
88,30.475781374999997,100.142578125,70.27890637499999,33.261328125,1.150390625,1.037890625
89,33.573828125,101.89179675,71.189452875,34.49296875,1.191796875,1.02734375
90,36.4875,115.277734375,78.467968875,38.119140625,1.341796875,1.07421875
91,35.159375,112.179296875,76.9660155,36.327734375,1.395703125,1.0390625
92,37.064453125,125.08359387499999,87.136718875,37.701171875,1.5328125,1.089453125
93,36.308203125,132.34531225,92.35507824999999,40.9421875,1.5296875,1.087890625
94,37.2890625,121.99960949999999,85.5984375,42.553515625,1.735546875,1.254296875
95,37.5109375,130.77773425,92.408984375,44.2359375,1.651171875,1.312109375
96,34.780078125,132.4191405,93.03671875,45.498828125,1.523046875,1.227734375
97,32.65,126.45937487500001,89.39140625,43.794921875,1.435546875,1.0953125
98,32.6015625,125.153515625,90.05898425000001,40.530859375,1.45703125,1.10625
99,36.5265625,121.18203112500001,87.067578125,40.49140625,1.5546875,1.096875
100,40.28359375,127.7140625,91.32070325,43.191796875,1.71484375,1.156640625
101,40.560546875,120.705078,85.63046875,41.630859375,1.739453125,1.15859375
102,38.541015625,114.00390625,82.001172,38.76875,1.658203125,1.158984375
103,35.6359375,111.17812487500001,80.830078125,35.47890625,1.596484375,1.08125
104,34.190234375,104.82968774999999,77.085546875,35.429296875,1.683203125,1.1484375
105,33.656640625,106.73398449999999,78.314062375,37.847265625,1.7125,1.1875
106,33.14140625,108.27500012499999,79.721484375,39.240234375,1.615234375,1.23046875
107,34.83046875,110.29453137499999,80.059375,41.07421875,1.737890625,1.25078125
108,38.32890625,123.83828125,88.910937625,42.7359375,1.888671875,1.33515625
109,38.66640625,115.56562475000001,83.151953125,40.073046875,1.849609375,1.30625
110,38.419140625,109.21796875,80.233984375,38.25703125,1.84609375,1.33125
111,38.587109375,112.97109375,82.52265625,38.5875,1.808203125,1.2875
112,42.866015625,127.18906262499999,91.89882825,41.078515625,1.852734375,1.353125
113,46.210546875,131.000390625,93.88203125,44.174609375,1.909375,1.455078125
114,46.409765625,141.28945325,101.156250125,48.853515625,1.98671875,1.61171875
115,45.543359375,139.75351575,100.18085925,45.365234375,1.905859375,1.482421875
116,49.10625,140.7933595,102.34140625,46.2640625,2.14453125,1.48359375
117,57.466406375,163.15703125,116.734375,53.609374875,2.3640625,1.730859375
118,61.048828125,166.407812375,119.91523425,54.356250124999995,2.476171875,1.825390625
119,62.876953,162.76562487500001,117.205859375,53.655078125,2.591015625,1.73203125
120,61.632812375,161.2160155,117.6546875,53.275390625,2.66484375,1.707421875
121,55.88984375,151.982031375,110.997265625,52.615625,2.51875,1.69609375
122,55.835546875,151.577734375,110.292968625,53.331640625,2.6046875,1.726171875
123,59.191015625,162.25390612500001,117.351562375,55.94140625,2.661328125,1.793359375
124,59.86171875,165.59765637499999,120.37734375,54.95703125,2.728125,1.86796875
125,59.44921875,169.74296875,124.00664075,58.383203125,2.791796875,1.945703125
126,59.80703125,169.07773425,122.62460949999999,58.7296875,2.821875,2.000390625
127,57.556640625,155.89453125,114.5375,55.110546875,2.66484375,1.914453125
128,59.25390625,156.0078125,113.915234375,56.93671875,2.719921875,2.051171875
129,63.78984375,177.255859375,128.26875,60.35625,2.75390625,2.1171875
130,70.66640625,193.5796875,140.0515625,69.96875,2.8140625,2.295703125
131,80.4703125,210.964453,149.90234375,77.188671875,3.276953125,2.652734375
132,81.859375,202.556640625,145.796484375,74.064453125,3.527734375,2.709765625
133,72.92265625,187.144140625,136.7875,69.862109375,3.38125,2.60078125
134,68.706640625,193.03125,140.93203125,73.147265625,3.4734375,2.73828125
135,76.0046875,202.73984375,148.00859375,77.564453125,3.861328125,2.92578125
136,76.86484375,201.713672,148.742578,74.758984375,3.7453125,2.8953125
137,72.874609375,201.11640625,147.8078125,74.325390625,3.738671875,2.83671875
138,71.90859375,195.72265625,143.05351575,74.08515625,3.6953125,2.729296875
139,71.866796875,204.35351574999999,149.859375,78.9625,3.7765625,2.838671875
140,73.779296875,210.980078,156.25703125,79.928515625,4.033203125,2.9828125
141,77.964453125,220.27109375,163.01875,83.65390625,4.1296875,3.037890625
142,76.328125,205.52460925,152.59570324999999,80.5046875,3.8796875,2.906640625
143,80.15625,211.46835925,156.77812525,82.237890625,4.108984375,2.9625
144,84.262890625,215.7640625,160.690625,82.30546875,3.99453125,3.06171875
145,85.814453125,221.83828125,165.23359375,85.474609375,4.21796875,3.321875
146,87.326953125,229.4035155,170.91289075,86.652734375,4.1734375,3.434765625
147,87.8875,230.70468725,170.86796875,87.855859375,4.34609375,3.54140625
148,85.169140625,220.899218875,164.944531375,83.962890625,4.4234375,3.448046875
149,82.095703125,219.504296875,164.3328125,83.0203125,4.358203125,3.440234375
150,78.30234375,219.4484375,164.11367175,83.23125,4.2578125,3.5015625
151,77.200390625,217.958203,162.94140625,83.36640625,4.32109375,3.337890625
152,84.332422,235.37734375,173.70117175000001,91.52734375,4.58671875,3.448828125
153,92.563671875,260.45781225,191.79609375,97.2515625,4.757421875,3.62734375
154,93.8828125,253.86914074999999,188.02734375,96.875,4.8171875,3.645703125
155,93.18125012499999,249.10937525,185.576953125,98.137500125,4.819140625,3.696484375
156,94.133984375,256.0378905,191.348047,100.338672,5.018359375,3.72890625
157,94.225390625,260.23515625,192.989062375,103.285937375,5.053125,3.760546875
158,95.469922,262.42265562499995,194.504296875,103.71640625,5.148828125,3.716796875
159,96.93359375,268.59296812499997,198.596484625,107.969922125,5.125390625,3.835546875
160,93.876171875,262.196484875,195.25039075,105.65429675,4.969921875,3.830859375
161,90.19921875,260.13671875,194.09687475,103.586718625,5.109765625,3.930078125
162,89.114453,275.117187625,204.159375,104.97500025,5.123828125,3.948828125
163,89.07421875,280.703515625,207.776171875,108.01015625,5.106640625,4.025390625
164,89.309374875,276.553515875,204.550782125,110.01835925,4.978515625,4.069140625
165,90.3308595,279.23788924999997,207.473438,111.328906375,4.878515625,4.077734375
166,98.04335925000001,310.23554762500004,227.45820275,120.9777345,5.073828125,4.2859375
167,107.013671875,330.636719125,241.63515675,129.815234375,5.2796875,4.5078125
168,108.0328125,331.6410155,242.017577625,131.46093762499999,5.355078125,4.58515625
169,105.716796875,323.996483625,237.75625087500003,130.18710925,5.332421875,4.633203125
170,111.17148462499999,325.56523500000003,240.27695325,130.22421837500002,5.901953125,4.8234375
171,112.219922,312.50507825,232.849219,127.1546875,6.0578125,4.966015625
172,113.336328125,333.37226475,246.4976565,134.68007825,6.244140625,5.14375
173,115.14023487499999,345.67226500000004,257.00742075000005,135.5285155,6.271875,5.236328125
174,118.01914074999999,351.64882825000007,260.27578125,141.050390625,6.437109375,5.37890625
175,120.93515625,348.70468675,258.13476475,142.47226612499998,6.281640625,5.413671875
176,121.27460925,354.65937425,261.1484365,143.236328125,6.4046875,5.671875
177,115.53828100000001,353.18437425,260.7265635,144.165234,6.2515625,5.56640625
178,113.22382825,348.14335900000003,257.1832035,143.492578375,6.28984375,5.48359375
179,113.35585925000001,360.83710824999997,265.50703050000004,148.211719,6.534765625,5.76171875
180,109.88867224999998,361.47812400000004,266.59570275,149.483984625,6.46640625,5.8484375
181,112.278124625,358.80937425,264.440626,150.4480465,6.658203125,5.857421875
182,116.78867212499999,363.21250100000003,266.60703125,152.47656225,6.709375,5.8296875
183,115.32265612500001,365.40039149999996,268.613671875,152.94296875,6.60625,5.812890625
184,114.713281375,388.61054774999997,283.7828125,158.04726599999998,6.709765625,5.8921875
185,118.207812125,396.58632824999995,289.02343774999997,162.71601575000003,6.812109375,6.07890625
186,117.519140375,405.55742325,293.97890574999997,164.46796899999998,6.929296875,6.223828125
187,113.25937475,385.82109325,281.11601600000006,156.70156225,6.8671875,6.054296875
188,110.962890625,383.7359385,280.28320275,154.98632800000001,6.862890625,5.9859375
189,111.147265625,375.63749825,273.75742337500003,153.6414065,7.01015625,5.9578125
190,111.3390625,364.27617375,266.09335962500006,154.7175785,7.330859375,6.047265625
191,109.517578,366.06835925000007,267.58867150000003,155.19687425,7.286328125,6.16953125
192,110.93203087500001,371.77109375000003,272.858594375,156.9664065,7.423046875,6.359765625
193,116.50273425,379.63007675000006,278.604689125,159.98437512499999,7.709765625,6.640625
194,117.6367185,375.84062575,276.15078137500007,159.11562475,7.708984375,6.585546875
195,123.50156225,391.14765724999995,286.613281625,164.785546625,7.9515625,6.69375
196,134.07070349999998,422.40155999999996,307.96601625,175.969140375,8.566015625,7.112109375
197,143.2304685,425.16249625,310.57617262499997,179.300000125,8.729296875,7.24296875
198,139.38593774999998,413.69257625,305.151172125,174.82656175000002,8.7546875,7.465234375
199,134.2410155,403.05312775,296.34531275,172.57773475,9.04921875,7.674609375
