Year,Month,Day,Hour,SOLAR_KampongChhnang,SOLAR_KampongSpeu
2016,1,1,0,0.0,0.0
2016,1,1,1,0.0,0.0
2016,1,1,2,0.0,0.0
2016,1,1,3,0.0,0.0
2016,1,1,4,0.0,0.0
2016,1,1,5,0.0,0.0
2016,1,1,6,4.091146817327513,4.657786420174009
2016,1,1,7,51.89202077181425,59.086452018919154
2016,1,1,8,107.73530758986992,122.66035085127739
2016,1,1,9,153.01734111255467,174.2102151350657
2016,1,1,10,181.2320995044467,205.7063854453728
2016,1,1,11,47.33788478399747,54.10043975313997
2016,1,1,12,48.49591670279291,55.423904803191895
2016,1,1,13,44.05890030485663,50.35302891983615
2016,1,1,14,40.13215135521727,45.86531583453403
2016,1,1,15,31.293143993830917,35.76359313580676
2016,1,1,16,16.776569731767363,19.173222550591273
2016,1,1,17,1.2766824980600842,1.4590657120686674
2016,1,1,18,0.0,0.0
2016,1,1,19,0.0,0.0
2016,1,1,20,0.0,0.0
2016,1,1,21,0.0,0.0
2016,1,1,22,0.0,0.0
2016,1,1,23,0.0,0.0
2016,1,2,0,0.0,0.0
2016,1,2,1,0.0,0.0
2016,1,2,2,0.0,0.0
2016,1,2,3,0.0,0.0
2016,1,2,4,0.0,0.0
2016,1,2,5,0.0,0.0
2016,1,2,6,3.7956953897131473,4.321953429078669
2016,1,2,7,48.791387237965594,55.56409804331403
2016,1,2,8,103.25523272308175,117.5718827298158
2016,1,2,9,148.23167863767443,168.77286946207656
2016,1,2,10,178.92466878407723,203.160521029456
2016,1,2,11,47.214198642628524,53.95908416300402
2016,1,2,12,47.96829026005157,54.82090315434464
2016,1,2,13,44.64574235874561,51.02370555285212
2016,1,2,14,39.07426602289436,44.65630402616499
2016,1,2,15,29.82501431230668,34.08573064263621
2016,1,2,16,16.59205940993576,18.962353611355155
2016,1,2,17,1.390350709102104,1.5889722389738332
2016,1,2,18,0.0,0.0
2016,1,2,19,0.0,0.0
2016,1,2,20,0.0,0.0
2016,1,2,21,0.0,0.0
2016,1,2,22,0.0,0.0
2016,1,2,23,0.0,0.0
2016,1,3,0,0.0,0.0
2016,1,3,1,0.0,0.0
2016,1,3,2,0.0,0.0
2016,1,3,3,0.0,0.0
2016,1,3,4,0.0,0.0
2016,1,3,5,0.0,0.0
2016,1,3,6,3.4988757357470455,3.9844536755561553
2016,1,3,7,47.18920369859589,53.74319695152905
2016,1,3,8,101.45639969809417,115.52705552380486
2016,1,3,9,145.99118707496257,166.22457401312104
2016,1,3,10,176.28320416688612,200.17139169162957
2016,1,3,11,48.24807812847079,55.14066071825232
2016,1,3,12,48.77505825773409,55.742923723124676
2016,1,3,13,46.75987284811496,53.43985468355996
2016,1,3,14,41.038017242786545,46.90059113461321
2016,1,3,15,31.260532298113127,35.726322626415005
2016,1,3,16,16.734185575936255,19.124783515355716
2016,1,3,17,1.2802289628694328,1.4631188147079226
2016,1,3,18,0.0,0.0
2016,1,3,19,0.0,0.0
2016,1,3,20,0.0,0.0
2016,1,3,21,0.0,0.0
2016,1,3,22,0.0,0.0
2016,1,3,23,0.0,0.0
2016,1,4,0,0.0,0.0
2016,1,4,1,0.0,0.0
2016,1,4,2,0.0,0.0
2016,1,4,3,0.0,0.0
2016,1,4,4,0.0,0.0
2016,1,4,5,0.0,0.0
2016,1,4,6,2.6369158836722932,3.0039073144060526
2016,1,4,7,40.98908882380916,46.695909398699065
2016,1,4,8,92.56218419847282,105.42186584241146
2016,1,4,9,137.44361387690543,156.51298902365627
2016,1,4,10,164.66636306776027,186.97945269889124
2016,1,4,11,52.4268142878003,59.91635918605748
2016,1,4,12,52.21520676289505,59.674522014737185
2016,1,4,13,49.546761874615534,56.62487071384633
2016,1,4,14,42.633547957685906,48.7240548087839
2016,1,4,15,32.272030588808136,36.88232067292359
2016,1,4,16,16.431497609933373,18.778854411352434
2016,1,4,17,1.1316048056137598,1.293262634987154
2016,1,4,18,0.0,0.0
2016,1,4,19,0.0,0.0
2016,1,4,20,0.0,0.0
2016,1,4,21,0.0,0.0
2016,1,4,22,0.0,0.0
2016,1,4,23,0.0,0.0
2016,1,5,0,0.0,0.0
2016,1,5,1,0.0,0.0
2016,1,5,2,0.0,0.0
2016,1,5,3,0.0,0.0
2016,1,5,4,0.0,0.0
2016,1,5,5,0.0,0.0
2016,1,5,6,2.720316710506751,3.098875630682185
2016,1,5,7,41.1694621192827,46.90136090726347
2016,1,5,8,92.92607527129577,105.83596713739213
2016,1,5,9,137.2054940296125,156.24229869959896
2016,1,5,10,166.29133570537718,188.8206293169768
2016,1,5,11,52.03086144183391,59.463841647810185
2016,1,5,12,51.840415552373955,59.24618920271309
2016,1,5,13,49.745472340056686,56.85196838863621
2016,1,5,14,42.8601941507585,48.98307902943829
2016,1,5,15,32.39335537625581,37.020977572863785
2016,1,5,16,16.595359370519823,18.966124994879795
2016,1,5,17,1.1476491020801267,1.3115989738058593
2016,1,5,18,0.0,0.0
2016,1,5,19,0.0,0.0
2016,1,5,20,0.0,0.0
2016,1,5,21,0.0,0.0
2016,1,5,22,0.0,0.0
2016,1,5,23,0.0,0.0
2016,1,6,0,0.0,0.0
2016,1,6,1,0.0,0.0
2016,1,6,2,0.0,0.0
2016,1,6,3,0.0,0.0
2016,1,6,4,0.0,0.0
2016,1,6,5,0.0,0.0
2016,1,6,6,2.7923191657965796,3.1808807533275134
2016,1,6,7,41.11252757684073,46.83711182383285
2016,1,6,8,91.73076365524476,104.47837341307007
2016,1,6,9,134.11661917526575,152.7326174445007
2016,1,6,10,161.99389766808457,183.91551195311354
2016,1,6,11,53.45212460918615,61.08814241049845
2016,1,6,12,53.99594666589771,61.709653332454515
2016,1,6,13,51.55070199276387,58.91508799173014
2016,1,6,14,45.213058449910356,51.67206679989755
2016,1,6,15,32.92871975297422,37.632822574827685
2016,1,6,16,16.11813509184267,18.420725819248773
2016,1,6,17,1.0559216591274372,1.2067676104313567
2016,1,6,18,0.0,0.0
2016,1,6,19,0.0,0.0
2016,1,6,20,0.0,0.0
2016,1,6,21,0.0,0.0
2016,1,6,22,0.0,0.0
2016,1,6,23,0.0,0.0
2016,1,7,0,0.0,0.0
2016,1,7,1,0.0,0.0
2016,1,7,2,0.0,0.0
2016,1,7,3,0.0,0.0
2016,1,7,4,0.0,0.0
2016,1,7,5,0.0,0.0
2016,1,7,6,2.810406095204335,3.201532079866276
2016,1,7,7,40.86845966237214,46.56008042805532
2016,1,7,8,93.17039219565015,106.11510377898662
2016,1,7,9,137.08338464628184,156.10386968903964
2016,1,7,10,166.40494684665913,188.95630650593571
2016,1,7,11,52.77166983180162,60.31047980777329
2016,1,7,12,53.39154754878413,61.018911484324725
2016,1,7,13,51.484230741382085,58.83912084729382
2016,1,7,14,44.601834583421876,50.97352523819643
2016,1,7,15,33.13436952104693,37.867850881196496
2016,1,7,16,16.12779720261645,18.431768231561655
2016,1,7,17,1.0503172309579085,1.2003625496661812
2016,1,7,18,0.0,0.0
2016,1,7,19,0.0,0.0
2016,1,7,20,0.0,0.0
2016,1,7,21,0.0,0.0
2016,1,7,22,0.0,0.0
2016,1,7,23,0.0,0.0
2016,1,8,0,0.0,0.0
2016,1,8,1,0.0,0.0
2016,1,8,2,0.0,0.0
2016,1,8,3,0.0,0.0
2016,1,8,4,0.0,0.0
2016,1,8,5,0.0,0.0
2016,1,8,6,1.8272212401014851,2.082385606750799
2016,1,8,7,30.64182804166335,34.928337115676044
2016,1,8,8,74.92185673735501,85.37245544659967
2016,1,8,9,117.78070551054158,134.1695325567763
2016,1,8,10,148.91162450937003,169.12806855308324
2016,1,8,11,57.606191517558486,65.83564744863827
2016,1,8,12,57.85737048644338,66.12270912736386
2016,1,8,13,54.728629692341755,62.54700536267629
2016,1,8,14,46.17601376627402,52.772587161456016
2016,1,8,15,33.24177912574416,37.990604715136186
2016,1,8,16,16.298619830037953,18.62699409147195
2016,1,8,17,1.0815488798753936,1.2360558627147358
2016,1,8,18,0.0,0.0
2016,1,8,19,0.0,0.0
2016,1,8,20,0.0,0.0
2016,1,8,21,0.0,0.0
2016,1,8,22,0.0,0.0
2016,1,8,23,0.0,0.0
2016,1,9,0,0.0,0.0
2016,1,9,1,0.0,0.0
2016,1,9,2,0.0,0.0
2016,1,9,3,0.0,0.0
2016,1,9,4,0.0,0.0
2016,1,9,5,0.0,0.0
